epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
1,0.7203418612480164,0.5404551029205322,0.7299248576164246,0.6539894342422485,0.7503962516784668,0.4945427179336548,0.876163899898529,0.553420901298523
2,0.783372163772583,0.4563048183917999,0.7871270179748535,0.7463895678520203,0.7892773747444153,0.43595966696739197,0.867909848690033,0.6569300293922424
3,0.8193317651748657,0.40548229217529297,0.817306399345398,0.7986669540405273,0.822097897529602,0.3877860903739929,0.7715597748756409,0.8892374038696289
4,0.8361460566520691,0.3731527328491211,0.8321743011474609,0.8210808634757996,0.846806526184082,0.3603465259075165,0.8129978179931641,0.8804156184196472
5,0.8548873066902161,0.34729981422424316,0.8498026132583618,0.8440828323364258,0.858741283416748,0.3302285969257355,0.9118052124977112,0.7782787680625916
6,0.8610722422599792,0.32875803112983704,0.8590652942657471,0.8468274474143982,0.8606060743331909,0.32195571064949036,0.8273420333862305,0.8933542370796204
7,0.8736286163330078,0.31050601601600647,0.8716676831245422,0.8610730171203613,0.892307698726654,0.27457699179649353,0.8995544910430908,0.8708096742630005
8,0.8804662227630615,0.29506486654281616,0.8802522420883179,0.8665621280670166,0.8906293511390686,0.2751704752445221,0.883144736289978,0.8874730467796326
9,0.8839160799980164,0.28918027877807617,0.8848815560340881,0.8689799308776855,0.8942657113075256,0.2622694969177246,0.9221110939979553,0.8494412899017334
10,0.8875835537910461,0.27907735109329224,0.8879814147949219,0.873880922794342,0.8796270489692688,0.2906405031681061,0.9411764740943909,0.7967065572738647
11,0.8959751129150391,0.2642994523048401,0.8976320624351501,0.8818532228469849,0.8868997693061829,0.269420862197876,0.8861740231513977,0.8745344281196594
12,0.9025641083717346,0.24830518662929535,0.9035018086433411,0.8902176022529602,0.8905361294746399,0.27013564109802246,0.84237140417099,0.9470692276954651
