protocol,threshold,target_accuracy,minimum_coverage,validation_accepted_accuracy,validation_coverage,selection_reason,image_count,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,0.75,0.95,0.5,0.9514506317267197,0.797016317016317,target_accuracy_reached,10725,0.8968764568764569,0.9202608878602988,0.8574789257008429,0.8877613152019485,8470,2255,0.7897435897435897,0.21025641025641026,0.9554899645808737,0.9710264900662252,0.9282511210762332,0.9491571139581928,0.3232815964523282
unseen,0.77,0.95,0.5,0.9519446845289542,0.8415769566482397,target_accuracy_reached,19258,0.670630387371482,0.6405301709103592,0.88526802930968,0.7432711377342454,13931,5327,0.7233876830408142,0.2766123169591858,0.739788959873663,0.709941829719725,0.9601859578018834,0.816316189511021,0.5102308991927914
