protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,0.5,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10725,0,1.0,0.0,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,
standard,10725,0.51,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10639,86,0.991981351981352,0.008018648018648019,0.8971707867280759,0.9254084264832331,0.8521377672209026,0.8872629843363561,0.46511627906976744
standard,10725,0.52,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10557,168,0.9843356643356643,0.015664335664335664,0.8997821350762527,0.9291304347826087,0.853775469436676,0.8898605038517593,0.4523809523809524
standard,10725,0.53,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10475,250,0.9766899766899767,0.023310023310023312,0.9016706443914081,0.9311252467646414,0.8556742592219311,0.8918067226890757,0.416
standard,10725,0.54,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10381,344,0.9679254079254079,0.032074592074592075,0.9045371351507562,0.9341025072110051,0.8584828711256117,0.8946976941876528,0.41569767441860467
standard,10725,0.55,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10305,420,0.9608391608391609,0.039160839160839164,0.9067442988840368,0.9362986142154671,0.8610483042137719,0.8970981903844094,0.4119047619047619
standard,10725,0.56,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10227,498,0.9535664335664336,0.046433566433566435,0.9090642417131124,0.9378238341968912,0.8642308490761885,0.8995246326707,0.40963855421686746
standard,10725,0.57,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10138,587,0.9452680652680653,0.05473193473193473,0.9117182876306964,0.9405331510594669,0.8668626627467451,0.9021964812588789,0.4071550255536627
standard,10725,0.58,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10063,662,0.9382750582750583,0.06172494172494172,0.9138427904203518,0.9423121121581246,0.8693808312128923,0.9043785154957539,0.4033232628398791
standard,10725,0.59,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9986,739,0.9310955710955711,0.06890442890442891,0.9161826557180052,0.9435315899097431,0.8730192719486082,0.9069069069069069,0.401894451962111
standard,10725,0.6,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9919,806,0.9248484848484848,0.07515151515151515,0.9190442584937998,0.9459333488697274,0.8766738660907127,0.9099876695437731,0.4106699751861042
standard,10725,0.61,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9840,885,0.9174825174825175,0.08251748251748252,0.921849593495935,0.9478750880488378,0.8806719022687609,0.9130385615741264,0.4124293785310734
standard,10725,0.62,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9760,965,0.91002331002331,0.08997668997668998,0.9238729508196721,0.9491003787878788,0.8836235397839982,0.9151923296427349,0.40518134715025905
standard,10725,0.63,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9680,1045,0.9025641025641026,0.09743589743589744,0.9256198347107438,0.9514818355640535,0.8850600266785238,0.917069799585349,0.39617224880382773
standard,10725,0.64,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9621,1104,0.897062937062937,0.10293706293706294,0.9270346117867165,0.9526214526214526,0.8869234214061801,0.9185992578849722,0.391304347826087
standard,10725,0.65,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9545,1180,0.88997668997669,0.11002331002331002,0.929806181246726,0.9536632702571567,0.8913832199546485,0.9214721050164089,0.39322033898305087
standard,10725,0.66,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9456,1269,0.8816783216783217,0.11832167832167832,0.9326353637901861,0.9560951680156978,0.8948576675849403,0.9244634175263844,0.39164696611505123
standard,10725,0.67,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9378,1347,0.8744055944055944,0.1255944055944056,0.9346342503732139,0.9574152017826194,0.8976323119777159,0.9265604408769618,0.3867854491462509
standard,10725,0.68,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9282,1443,0.8654545454545455,0.13454545454545455,0.9366515837104072,0.9584480600750939,0.9007292401787814,0.9286926994906621,0.3783783783783784
