product_type,precision,recall,f1_score,support
apple,0.6949891067538126,0.41081777205408887,0.5163901254552813,1553
banana,0.7438882421420256,0.461038961038961,0.5692650334075724,1386
bellpepper,0.7560192616372392,0.6140808344198174,0.6776978417266187,767
bitter_gourd,0.4664179104477612,0.9124087591240876,0.6172839506172839,137
carrot,0.29581151832460734,0.4977973568281938,0.37110016420361247,227
cucumber,0.4964871194379391,0.7335640138408305,0.5921787709497207,289
grape,0.9801980198019802,1.0,0.99,99
grapes,0.18604651162790697,0.8571428571428571,0.3057324840764331,84
guava,0.43914473684210525,0.504725897920605,0.46965699208443273,529
jujube,0.1903114186851211,0.8208955223880597,0.3089887640449438,67
kaki,0.73828125,1.0,0.849438202247191,189
lime,0.5243055555555556,0.6494623655913978,0.5802113352545629,465
mango,0.2785714285714286,0.5518867924528302,0.370253164556962,212
orange,0.7211660329531052,0.43435114503816796,0.5421629347308242,1310
papaya,0.9026548672566371,1.0,0.9488372093023256,102
peach,0.9045454545454545,1.0,0.9498806682577565,199
pear,0.8618421052631579,1.0,0.9257950530035336,131
pomegranate,0.830298616168973,0.7610146862483311,0.7941483803552769,1498
potato,0.22439024390243903,0.5369649805447471,0.3165137614678899,257
strawberry,0.2982456140350877,0.5032894736842105,0.37454100367197063,304
tomato,0.6902313624678663,0.6123147092360319,0.6489425981873111,877
watermelon,0.7368421052631579,1.0,0.8484848484848485,42
