method,protocol,loss,accuracy,precision,recall,f1_score
baseline_cnn,standard_split,0.2539184391498565,0.8968764568764569,0.9202608878602988,0.8574789257008429,0.8877613152019485
product_type_invariant_cnn,standard_split,0.2853682935237884,0.8796158149944051,0.9292474087426768,0.8084689276612429,0.8646608659188594
baseline_cnn,unseen_category_split,0.7924504280090332,0.670630387371482,0.6405301709103592,0.88526802930968,0.7432711377342454
product_type_invariant_cnn,unseen_category_split,0.5814976096153259,0.7355904039879531,0.715158924205379,0.8460277670651755,0.7751082059888702
