product_type,product_type_label
apple,0
banana,1
bellpepper,2
bitter_gourd,3
carrot,4
cucumber,5
grape,6
grapes,7
guava,8
jujube,9
kaki,10
lime,11
mango,12
orange,13
papaya,14
peach,15
pear,16
pomegranate,17
potato,18
strawberry,19
tomato,20
watermelon,21
