product_type,image_count,accuracy,precision,recall,f1_score
apple,7731,0.8282240331134394,0.8189524016518148,0.8838845883180858,0.8501805054151624
banana,7118,0.5998876088788986,0.5630938489748292,0.9370319001386963,0.7034568929612661
tomato,4409,0.6931276933545022,0.7660656495607951,0.661741214057508,0.7100921362759803
