method,protocol,loss,accuracy,precision,recall,f1_score
baseline_cnn,standard_split,0.2539184391498565,0.8968764568764569,0.9202608878602988,0.8574789257008429,0.8877613152019485
product_type_invariant_cnn,standard_split,0.2722451686859131,0.8901529280119358,0.9426765967050328,0.8188590472456381,0.8764162819974821
baseline_cnn,unseen_category_split,0.7924504280090332,0.670630387371482,0.6405301709103592,0.88526802930968,0.7432711377342454
product_type_invariant_cnn,unseen_category_split,0.7665367126464844,0.7128985356734864,0.6897281203478806,0.8487273428461242,0.7610114545061595
