method,protocol,loss,accuracy,precision,recall,f1_score
baseline_cnn,standard_split,0.2539184391498565,0.8968764568764569,0.9202608878602988,0.8574789257008429,0.8877613152019485
product_type_invariant_cnn,standard_split,0.2564066648483276,0.895095113763521,0.9104046242774566,0.8645363654185454,0.8868778280542986
baseline_cnn,unseen_category_split,0.7924504280090332,0.670630387371482,0.6405301709103592,0.88526802930968,0.7432711377342454
product_type_invariant_cnn,unseen_category_split,0.6618825197219849,0.7112368885657908,0.6944152590317627,0.8283841110682607,0.7555067047702791
