product_type,precision,recall,f1_score,support
apple,0.6563658838071693,0.3419188667095943,0.44961896697713805,1553
banana,0.7734994337485843,0.49278499278499277,0.6020273248126928,1386
bellpepper,0.7151248164464024,0.6349413298565841,0.6726519337016574,767
bitter_gourd,0.45161290322580644,0.9197080291970803,0.6057692307692307,137
carrot,0.2695984703632887,0.6211453744493393,0.376,227
cucumber,0.5199004975124378,0.7231833910034602,0.6049204052098408,289
grape,0.9801980198019802,1.0,0.99,99
grapes,0.4556213017751479,0.9166666666666666,0.6086956521739131,84
guava,0.523168908819133,0.6616257088846881,0.5843071786310517,529
jujube,0.23809523809523808,0.8208955223880597,0.3691275167785235,67
kaki,0.883177570093458,1.0,0.9379652605459057,189
lime,0.5619694397283531,0.7118279569892473,0.6280834914611005,465
mango,0.29540481400437635,0.6367924528301887,0.40358744394618834,212
orange,0.7115384615384616,0.45190839694656487,0.5527544351073763,1310
papaya,0.816,1.0,0.8986784140969163,102
peach,0.9386792452830188,1.0,0.9683698296836983,199
pear,0.8972602739726028,1.0,0.9458483754512635,131
pomegranate,0.8112359550561797,0.7229639519359146,0.7645605365337098,1498
potato,0.33763440860215055,0.6108949416342413,0.43490304709141275,257
strawberry,0.313915857605178,0.6381578947368421,0.420824295010846,304
tomato,0.6711259754738016,0.6864310148232611,0.6786922209695603,877
watermelon,0.4827586206896552,1.0,0.6511627906976745,42
