protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_distance,median_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,2.453242,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,537,10188,0.05006993006993007,0.9499300699300699,5.500676155090332,4.927595138549805,0.9776536312849162,0.9444444444444444,0.7727272727272727,0.85,0.11012956419316844
standard,10725,2.561057,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,644,10081,0.06004662004662005,0.9399533799533799,5.500676155090332,4.927595138549805,0.9704968944099379,0.9074074074074074,0.7777777777777778,0.8376068376068376,0.11060410673544291
standard,10725,2.642575,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,751,9974,0.07002331002331003,0.92997668997669,5.500676155090332,4.927595138549805,0.9707057256990679,0.9230769230769231,0.7792207792207793,0.8450704225352113,0.11148987367154602
standard,10725,2.73806,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,858,9867,0.08,0.92,5.500676155090332,4.927595138549805,0.9685314685314685,0.9397590361445783,0.78,0.8524590163934426,0.11219215567041654
standard,10725,2.830349,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,966,9759,0.09006993006993007,0.90993006993007,5.500676155090332,4.927595138549805,0.9658385093167702,0.9423076923076923,0.784,0.8558951965065502,0.11281893636643099
standard,10725,2.907174,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1073,9652,0.10004662004662004,0.89995337995338,5.500676155090332,4.927595138549805,0.9627213420316869,0.9416666666666667,0.773972602739726,0.849624060150376,0.11334438458350601
standard,10725,2.985521,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1180,9545,0.11002331002331002,0.88997668997669,5.500676155090332,4.927595138549805,0.961864406779661,0.9523809523809523,0.7865168539325843,0.8615384615384616,0.1140911471974856
standard,10725,3.045368,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1287,9438,0.12,0.88,5.500676155090332,4.927595138549805,0.9588189588189588,0.943502824858757,0.7952380952380952,0.8630490956072352,0.11453697817334181
standard,10725,3.115749,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1395,9330,0.13006993006993006,0.8699300699300699,5.500676155090332,4.927595138549805,0.9548387096774194,0.9444444444444444,0.8,0.8662420382165605,0.11479099678456592
standard,10725,3.181205,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1502,9223,0.14004662004662005,0.85995337995338,5.500676155090332,4.927595138549805,0.9527296937416777,0.9475806451612904,0.8020477815699659,0.8687615526802218,0.11525533991109184
standard,10725,3.255327,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1609,9116,0.15002331002331,0.84997668997669,5.500676155090332,4.927595138549805,0.9521441889372281,0.95,0.8085106382978723,0.8735632183908046,0.11594997806055288
standard,10725,3.310992,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1716,9009,0.16,0.84,5.500676155090332,4.927595138549805,0.9527972027972028,0.9493670886075949,0.821917808219178,0.8810572687224669,0.11688311688311688
standard,10725,3.378003,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1824,8901,0.17006993006993007,0.8299300699300699,5.500676155090332,4.927595138549805,0.9517543859649122,0.945054945054945,0.8349514563106796,0.8865979381443299,0.11751488596786878
standard,10725,3.436845,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1931,8794,0.18004662004662006,0.8199533799533799,5.500676155090332,4.927595138549805,0.9502848265147592,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.11803502387991813
standard,10725,3.489326,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2038,8687,0.19002331002331002,0.8099766899766899,5.500676155090332,4.927595138549805,0.950441609421001,0.9384615384615385,0.854,0.8942408376963351,0.1189133187521584
standard,10725,3.5478,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2145,8580,0.2,0.8,5.500676155090332,4.927595138549805,0.9491841491841492,0.937246963562753,0.8558225508317929,0.8946859903381642,0.11946386946386946
standard,10725,3.610013,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2253,8472,0.21006993006993008,0.78993006993007,5.500676155090332,4.927595138549805,0.9471815357301376,0.9353049907578558,0.8576271186440678,0.8947833775419982,0.11980642115203022
standard,10725,3.679165,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2360,8365,0.22004662004662004,0.77995337995338,5.500676155090332,4.927595138549805,0.9461864406779661,0.9328743545611016,0.8603174603174604,0.8951279933938894,0.12038254632396891
standard,10725,3.731513,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2467,8258,0.23002331002331003,0.76997668997669,5.500676155090332,4.927595138549805,0.9456830158086745,0.9347133757961783,0.8632352941176471,0.8975535168195719,0.1210946960523129
standard,10725,3.7894,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2574,8151,0.24,0.76,5.500676155090332,4.927595138549805,0.9436674436674437,0.9312406576980568,0.8628808864265928,0.8957584471603163,0.12133480554533187
standard,10725,3.852336,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2682,8043,0.25006993006993006,0.7499300699300699,5.500676155090332,4.927595138549805,0.9433258762117822,0.9334257975034674,0.8661518661518661,0.8985313751668892,0.12209374611463385
standard,10725,3.90361,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2789,7936,0.26004662004662005,0.73995337995338,5.500676155090332,4.927595138549805,0.9411975618501255,0.9303225806451613,0.8676293622141997,0.8978829389788294,0.12222782258064516
standard,10725,3.948429,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2896,7829,0.27002331002331004,0.72997668997669,5.500676155090332,4.927595138549805,0.93853591160221,0.9302884615384616,0.8657718120805369,0.8968713789107764,0.12211010346148933
