protocol,feature_layer_index,confidence_threshold,distance_threshold,target_accuracy,minimum_coverage,validation_accepted_accuracy,validation_coverage,selection_reason,image_count,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_confidence,mean_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,-3,0.75,46.826202,0.95,0.5,0.9514506317267197,0.797016317016317,target_accuracy_reached,10725,0.8968764568764569,0.9202608878602988,0.8574789257008429,0.8877613152019485,8469,2256,0.7896503496503496,0.21034965034965036,0.8679882287979126,5.54428243637085,0.9554847089384815,0.9710264900662252,0.9282511210762332,0.9491571139581928,0.32313829787234044
unseen,-3,0.77,49.956474,0.95,0.5,0.9519363762102351,0.8414314809426826,target_accuracy_reached,19258,0.670630387371482,0.6405301709103592,0.88526802930968,0.7432711377342454,13929,5329,0.7232838300965833,0.27671616990341674,0.8564944863319397,5.443472385406494,0.7397515973867471,0.7098906911142454,0.9601764635745798,0.8162789519030966,0.5100394070182023
