protocol,threshold,target_accuracy,minimum_coverage,validation_accepted_accuracy,validation_coverage,selection_reason,image_count,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,0.53,0.9,0.5,0.9016706443914081,0.9766899766899767,target_accuracy_reached,10725,0.8968764568764569,0.9202608878602988,0.8574789257008429,0.8877613152019485,10455,270,0.9748251748251748,0.025174825174825177,0.907221425155428,0.9299197222824908,0.8688424893573891,0.8983441626493398,0.5037037037037037
unseen,0.5,0.9,0.5,0.9029677043933663,1.0,target_accuracy_reached,19258,0.670630387371482,0.6405301709103592,0.88526802930968,0.7432711377342454,19258,0,1.0,0.0,0.670630387371482,0.6405301709103592,0.88526802930968,0.7432711377342454,
